Electricity.Timestep,Time,Sum [kWh],True Sum [kWh],True Sum [Wh]
0,43831,0.047638231,0.9,900
60,43831.04167,0.04491394,0.9,900
120,43831.08333,0.04468854,0.9,900
180,43831.125,0.042031557,0.9,900
240,43831.16667,0.04192065,0.9,900
300,43831.20833,0.05191479,0.9,900
360,43831.25,0.677659287,0.677659287,677.659287
420,43831.29167,0.704842516,0.704842516,704.842516
480,43831.33333,0.135463499,0.135463499,135.463499
540,43831.375,0.678362352,0.678362352,678.362352
600,43831.41667,0.539677588,0.539677588,539.677588
660,43831.45833,0.596772766,0.596772766,596.772766
720,43831.5,0.277842864,0.277842864,277.842864
780,43831.54167,0.264647131,0.264647131,264.647131
840,43831.58333,0.726432869,0.726432869,726.432869
900,43831.625,1.018919139,1.018919139,1018.919139
960,43831.66667,0.693292927,0.693292927,693.292927
1020,43831.70833,0.171090386,0.171090386,171.090386
1080,43831.75,0.731031877,0.9,900
1140,43831.79167,1.446840011,0.9,900
1200,43831.83333,0.125599696,0.9,900
1260,43831.875,0.477475352,0.9,900
1320,43831.91667,0.105795821,0.9,900
1380,43831.95833,0.042686331,0.9,900
1440,43832,0.043661018,0.9,900
1500,43832.04167,0.040811699,0.9,900
1560,43832.08333,0.045645694,0.9,900
1620,43832.125,0.046945123,0.9,900
1680,43832.16667,0.043613591,0.9,900
1740,43832.20833,0.043159355,0.9,900
1800,43832.25,0.049857801,0.049857801,49.857801
1860,43832.29167,0.896038314,0.896038314,896.038314
1920,43832.33333,0.872012515,0.872012515,872.012515
1980,43832.375,1.139053982,1.139053982,1139.053982
2040,43832.41667,0.743332385,0.743332385,743.332385
2100,43832.45833,0.827420492,0.827420492,827.420492
2160,43832.5,0.435040561,0.435040561,435.040561
2220,43832.54167,1.079407491,1.079407491,1079.407491
2280,43832.58333,0.96174569,0.96174569,961.74569
2340,43832.625,0.249172321,0.249172321,249.172321
2400,43832.66667,2.357422251,2.357422251,2357.422251
2460,43832.70833,0.193947922,0.193947922,193.947922
2520,43832.75,0.46175611,0.9,900
2580,43832.79167,1.464361275,0.9,900
2640,43832.83333,0.258676813,0.9,900
2700,43832.875,0.100509576,0.9,900
2760,43832.91667,0.158814096,0.9,900
2820,43832.95833,0.044548821,0.9,900
2880,43833,0.044447958,0.9,900
2940,43833.04167,0.043098575,0.9,900
3000,43833.08333,0.04220891,0.9,900
3060,43833.125,0.044349459,0.9,900
3120,43833.16667,0.046713334,0.9,900
3180,43833.20833,0.044092627,0.9,900
3240,43833.25,0.335721125,0.335721125,335.721125
3300,43833.29167,0.671140283,0.671140283,671.140283
3360,43833.33333,1.055224037,1.055224037,1055.224037
3420,43833.375,0.461257521,0.461257521,461.257521
3480,43833.41667,1.062972196,1.062972196,1062.972196
3540,43833.45833,0.193369533,0.193369533,193.369533
3600,43833.5,0.521928343,0.521928343,521.928343
3660,43833.54167,0.481748842,0.481748842,481.748842
3720,43833.58333,0.20736159,0.20736159,207.36159
3780,43833.625,0.206959023,0.206959023,206.959023
3840,43833.66667,0.270677918,0.270677918,270.677918
3900,43833.70833,0.207879557,0.207879557,207.879557
3960,43833.75,0.874329297,0.9,900
4020,43833.79167,0.498949244,0.9,900
4080,43833.83333,0.199437656,0.9,900
4140,43833.875,0.222513218,0.9,900
4200,43833.91667,0.135701465,0.9,900
4260,43833.95833,0.092008758,0.9,900
4320,43834,0.043347224,0.9,900
4380,43834.04167,0.04338783,0.9,900
4440,43834.08333,0.043253662,0.9,900
4500,43834.125,0.044688495,0.9,900
4560,43834.16667,0.037705021,0.9,900
4620,43834.20833,0.041219803,0.9,900
4680,43834.25,0.047698151,0.047698151,47.698151
4740,43834.29167,0.608958772,0.608958772,608.958772
4800,43834.33333,0.763255864,0.763255864,763.255864
4860,43834.375,0.257525839,0.257525839,257.525839
4920,43834.41667,0.67026897,0.67026897,670.26897
4980,43834.45833,0.61854033,0.61854033,618.54033
5040,43834.5,1.54443122,1.54443122,1544.43122
5100,43834.54167,0.593487165,0.593487165,593.487165
5160,43834.58333,0.37729649,0.37729649,377.29649
5220,43834.625,1.038668347,1.038668347,1038.668347
5280,43834.66667,0.8935689,0.8935689,893.5689
5340,43834.70833,0.58821199,0.58821199,588.21199
5400,43834.75,0.174334381,0.9,900
5460,43834.79167,0.120555529,0.9,900
5520,43834.83333,0.969160645,0.9,900
5580,43834.875,0.786910504,0.9,900
5640,43834.91667,0.098129774,0.9,900
5700,43834.95833,0.047559046,0.9,900
5760,43835,0.043344654,0.9,900
5820,43835.04167,0.042002338,0.9,900
5880,43835.08333,0.043364691,0.9,900
5940,43835.125,0.043218195,0.9,900
6000,43835.16667,0.044477657,0.9,900
6060,43835.20833,0.043219419,0.9,900
6120,43835.25,0.352601142,0.352601142,352.601142
6180,43835.29167,0.882835218,0.882835218,882.835218
6240,43835.33333,0.68377452,0.68377452,683.77452
6300,43835.375,0.458793802,0.458793802,458.793802
6360,43835.41667,1.086370982,1.086370982,1086.370982
6420,43835.45833,1.455488894,1.455488894,1455.488894
