Electricity.Timestep,Time,Sum [kWh],Sum [Wh]
0,1/1/2020 0:00,0.108949374,108.949374
60,1/1/2020 1:00,0.077952352,77.952352
120,1/1/2020 2:00,0.077749455,77.749455
180,1/1/2020 3:00,0.077607009,77.607009
240,1/1/2020 4:00,0.111763717,111.763717
300,1/1/2020 5:00,0.113014311,113.014311
360,1/1/2020 6:00,0.951888943,951.888943
420,1/1/2020 7:00,0.333651259,333.651259
480,1/1/2020 8:00,0.077985356,77.985356
540,1/1/2020 9:00,0.287082389,287.082389
600,1/1/2020 10:00,0.166781573,166.781573
660,1/1/2020 11:00,0.27868543,278.68543
720,1/1/2020 12:00,0.266580861,266.580861
780,1/1/2020 13:00,0.27773071,277.73071
840,1/1/2020 14:00,0.488703064,488.703064
900,1/1/2020 15:00,0.259677085,259.677085
960,1/1/2020 16:00,0.229759421,229.759421
1020,1/1/2020 17:00,0.206532888,206.532888
1080,1/1/2020 18:00,0.664237018,664.237018
1140,1/1/2020 19:00,0.304209535,304.209535
1200,1/1/2020 20:00,0.331205352,331.205352
1260,1/1/2020 21:00,0.274604691,274.604691
1320,1/1/2020 22:00,0.07764471,77.64471
1380,1/1/2020 23:00,0.078167942,78.167942
1440,2/1/2020 0:00,0.077853131,77.853131
1500,2/1/2020 1:00,0.130536822,130.536822
1560,2/1/2020 2:00,0.088388243,88.388243
1620,2/1/2020 3:00,0.078015158,78.015158
1680,2/1/2020 4:00,0.077981618,77.981618
1740,2/1/2020 5:00,0.174915308,174.915308
1800,2/1/2020 6:00,1.008194092,1008.194092
1860,2/1/2020 7:00,0.2731299,273.1299
1920,2/1/2020 8:00,0.378894994,378.894994
1980,2/1/2020 9:00,0.249987249,249.987249
2040,2/1/2020 10:00,0.094543143,94.543143
2100,2/1/2020 11:00,0.151171586,151.171586
2160,2/1/2020 12:00,0.417189161,417.189161
2220,2/1/2020 13:00,0.224450171,224.450171
2280,2/1/2020 14:00,0.21056511,210.56511
2340,2/1/2020 15:00,0.442920719,442.920719
2400,2/1/2020 16:00,0.259399503,259.399503
2460,2/1/2020 17:00,0.27368666,273.68666
2520,2/1/2020 18:00,0.269635529,269.635529
2580,2/1/2020 19:00,0.396878768,396.878768
2640,2/1/2020 20:00,0.27366366,273.66366
2700,2/1/2020 21:00,0.337358802,337.358802
2760,2/1/2020 22:00,0.092670083,92.670083
2820,2/1/2020 23:00,0.078322289,78.322289
2880,3/1/2020 0:00,0.078193572,78.193572
2940,3/1/2020 1:00,0.078171176,78.171176
3000,3/1/2020 2:00,0.131447517,131.447517
3060,3/1/2020 3:00,0.101075561,101.075561
3120,3/1/2020 4:00,0.078120928,78.120928
3180,3/1/2020 5:00,0.077893869,77.893869
3240,3/1/2020 6:00,0.764074172,764.074172
3300,3/1/2020 7:00,0.398850986,398.850986
3360,3/1/2020 8:00,0.304109733,304.109733
3420,3/1/2020 9:00,0.216721625,216.721625
3480,3/1/2020 10:00,0.196805026,196.805026
3540,3/1/2020 11:00,0.077520893,77.520893
3600,3/1/2020 12:00,0.262832786,262.832786
3660,3/1/2020 13:00,0.147059695,147.059695
3720,3/1/2020 14:00,0.295887905,295.887905
3780,3/1/2020 15:00,0.565765142,565.765142
3840,3/1/2020 16:00,0.24728322,247.28322
3900,3/1/2020 17:00,0.244514003,244.514003
3960,3/1/2020 18:00,0.440808096,440.808096
4020,3/1/2020 19:00,0.320231647,320.231647
4080,3/1/2020 20:00,0.262281988,262.281988
4140,3/1/2020 21:00,0.278089506,278.089506
4200,3/1/2020 22:00,0.10069747,100.69747
4260,3/1/2020 23:00,0.112943288,112.943288
4320,4/1/2020 0:00,0.124075375,124.075375
4380,4/1/2020 1:00,0.077749961,77.749961
4440,4/1/2020 2:00,0.077597842,77.597842
4500,4/1/2020 3:00,0.07771936,77.71936
4560,4/1/2020 4:00,0.077494013,77.494013
4620,4/1/2020 5:00,0.123456037,123.456037
4680,4/1/2020 6:00,1.188167459,1188.167459
4740,4/1/2020 7:00,0.221763603,221.763603
4800,4/1/2020 8:00,0.17779854,177.79854
4860,4/1/2020 9:00,0.196191772,196.191772
4920,4/1/2020 10:00,0.845495083,845.495083
4980,4/1/2020 11:00,0.37311481,373.11481
5040,4/1/2020 12:00,0.397499302,397.499302
5100,4/1/2020 13:00,0.077995477,77.995477
5160,4/1/2020 14:00,0.155246159,155.246159
5220,4/1/2020 15:00,0.271674499,271.674499
5280,4/1/2020 16:00,0.370719762,370.719762
5340,4/1/2020 17:00,0.218599203,218.599203
5400,4/1/2020 18:00,0.2007205,200.7205
5460,4/1/2020 19:00,0.205579948,205.579948
5520,4/1/2020 20:00,0.280084399,280.084399
5580,4/1/2020 21:00,0.369377636,369.377636
5640,4/1/2020 22:00,0.080173024,80.173024
5700,4/1/2020 23:00,0.092765527,92.765527
5760,5/1/2020 0:00,0.140721661,140.721661
5820,5/1/2020 1:00,0.077680046,77.680046
5880,5/1/2020 2:00,0.078122575,78.122575
5940,5/1/2020 3:00,0.078009648,78.009648
